"country_name","cowcode","year","v2x_polyarchy","v2elparlel","v2lgbicam","v2jureview","v2csstruc_0","v2csstruc_1","v2csstruc_2","v2csstruc_3","v2x_feduni","v2x_divparctrl","e_v2xlg_legcon_5c","v2xcl_rol","lvaw_garriga","gdp_constant_2015_us","gdp_per_capita_constant_2015_us","gini_index","multidimensional_poverty_headcount_ratio_percent_of_total_population","population_total","poverty_gap_at_2_15_a_day_2017_ppp_percent","hp_democracy","lp_democracy"
"Argentina",160,1990,0.835,NA,2,1.843,0,0.25,0.75,0,0.967,-1.316,0.75,0.824,0.400125,265817211205.311,8149.24061859681,NA,NA,32618648,NA,1,0
"Argentina",160,1991,0.834,NA,2,1.843,0,0.25,0.75,0,0.967,-1.316,0.75,0.83,0.400125,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,1992,0.835,NA,2,1.843,0,0.25,0.75,0,0.967,1.229,0.75,0.83,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,1993,0.834,NA,2,1.843,0,0.25,0.75,0,0.926,1.229,0.75,0.83,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,1994,0.837,NA,2,1.843,0,0.25,0.75,0,0.968,1.229,0.75,0.83,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,1995,0.836,NA,2,1.843,0,0.25,0.75,0,0.968,1.229,0.75,0.839,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,1996,0.833,NA,2,1.843,0,0.25,0.75,0,0.968,0.822,0.75,0.839,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,1997,0.832,NA,2,1.843,0,0.25,0.75,0,0.968,1.454,0.75,0.839,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,1998,0.83,NA,2,1.843,0,0.25,0.75,0,0.968,-1.362,0.75,0.839,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,1999,0.83,NA,2,1.843,0,0.25,0.75,0,0.968,-1.49,0.75,0.839,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,2000,0.839,NA,2,1.843,0,0.25,0.75,0,0.968,-1.122,0.75,0.832,0.80255264,395646066535.875,10730.6082172968,51.1,NA,36870796,2.7,1,0
"Argentina",160,2001,0.838,1,2,1.843,0,0.25,0.75,0,0.968,-1.122,0.75,0.842,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,2002,0.833,NA,2,1.843,0,0.25,0.75,0,0.968,-1.492,0.75,0.842,0.80255264,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,2003,0.815,1,2,1.843,0,0.25,0.75,0,0.968,0.943,0.75,0.854,0.79025,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,2004,0.812,NA,2,1.843,0,0.25,0.75,0,0.968,0.722,0.75,0.88,0.79025,NA,NA,NA,NA,NA,NA,1,0
"Argentina",160,2005,0.81,1,2,1.843,0,0.308,0.615,0.077,0.968,0.859,0.75,0.88,0.79025,NA,NA,NA,NA,NA,NA,1,0
