"country_name","v2x_polyarchy","v2x_libdem","v2x_feduni","v2x_divparctrl","v2jureview","d_bicam","v2xcl_rol","e_gdppc","lvaw_garriga","ind_cso"
"Afghanistan",0.24415625,0.1288125,0.0215625,0.70828125,0.4574375,1,0.2474375,1.24736666666667,0.77889705,0.5740625
"Albania",0.4638125,0.3783125,0.45071875,-0.0695,1.73675,0,0.8055,6.78793333333333,0.651867427272727,0.388125
"Algeria",0.30709375,0.15259375,0.188875,-1.10453125,-1.0474375,0.833333333333333,0.53590625,10.2357,0.389500006,0.5215625
"Angola",0.22140625,0.117125,0,-0.58284375,0.28403125,0,0.3643125,4.28656666666667,NA,0.6053125
"Argentina",0.807875,0.62878125,0.95646875,0.48553125,1.843,1,0.85325,14.1509666666667,0.760905610434783,0.556875
"Armenia",0.45221875,0.27253125,0.31471875,0.4558125,1.3205,0,0.77096875,6.8298275862069,0.764900034,0.314375
"Australia",0.8860625,0.84725,0.977375,-0.7059375,1.828,1,0.98,40.4408333333333,0.284523762608696,0.66375
"Austria",0.865125,0.78821875,0.97,-0.2821875,1.731,1,0.965375,37.8592666666667,0.772065217391304,0.863125
"Azerbaijan",0.224625,0.08228125,0.0445,-0.32109375,0.73028125,0,0.3919375,8.7201,0.382620601904762,0.479375
"Bahrain",0.13046875,0.0634,0.01,1.51896875,-0.19,0.666666666666667,0.35228125,26.0286333333333,0.51475,0.591875
"Bangladesh",0.4009375,0.20340625,0.12728125,0.49834375,1.7838125,0,0.50434375,2.23786666666667,0.327625,0.6753125
"Barbados",0.77271875,0.663,0,-0.317,1.722,1,0.92609375,17.5508666666667,0.403820660434783,0.6378125
"Belarus",0.3135625,0.16834375,0.18815625,-0.869125,0.66015625,0.8125,0.64940625,13.9224333333333,0.576268233913043,0.3103125
"Belgium",0.8844375,0.8195,0.9381875,-0.213,0.688,1,0.9840625,36.7929,0.694676066521739,0.7325
"Benin",0.600875,0.4893125,0.25578125,0.99503125,0.9045625,0,0.88390625,2.0656,0.8015,0.39
"Bhutan",0.2960625,0.2965,0.5785,0.3704375,-0.450625,0.4375,0.72925,6.28943333333333,0.365468260869565,0.6115625
"Bolivia",0.69178125,0.455,0.64428125,0.187625,1.66653125,1,0.75953125,4.07973333333333,0.689493413043478,0.5534375
"Bosnia and Herzegovina",0.5373,0.356233333333333,0.836633333333333,0.304,1.37706666666667,0.925925925925926,0.715533333333333,7.31646428571429,0.979,0.371333333333333
"Botswana",0.69815625,0.59275,0.4670625,-0.360125,1.854,0,0.901875,10.9757,0.466668507826087,0.5809375
"Brazil",0.83853125,0.72290625,0.97815625,0.672875,1.92,1,0.84065625,10.0732333333333,0.2548816,0.519375
"Bulgaria",0.68221875,0.58559375,0.4748125,0.10225,0.80921875,0,0.889125,12.8664,0.75975,0.3128125
"Burkina Faso",0.54103125,0.374375,0.16915625,0.90096875,0.8874375,0.333333333333333,0.75871875,1.6147,0.8015,0.5315625
"Burma/Myanmar",0.17925,0.07875,0.14925,-1.35834375,-1.71540625,1,0.194125,2.75253333333333,0.50775003,0.520625
"Burundi",0.2326875,0.12896875,0.2175,-0.1324375,1.3006875,0.758620689655172,0.28996875,0.8223,0.53174996,0.426875
"Cambodia",0.28753125,0.10540625,0.2585625,0.40321875,-0.97784375,0.71875,0.3789375,2.26943333333333,0.63725,0.5384375
"Cameroon",0.31378125,0.15084375,0.26971875,-1.4284375,-0.283125,0.28125,0.62165625,2.4425,0.50145,0.63125
"Canada",0.83178125,0.75440625,0.98575,-0.8385625,1.897,1,0.97125,40.0788,0.461972826086957,0.516875
"Cape Verde",0.74265625,0.66165625,0.3845625,-0.54125,0.677,0,0.9080625,4.45723333333333,0.518,0.4678125
