"country_name","cowcode","year","v2x_polyarchy","v2elparlel","v2lgbicam","v2jureview","v2csstruc_0","v2csstruc_1","v2csstruc_2","v2csstruc_3","v2x_feduni","v2x_divparctrl","e_v2xlg_legcon_5C","v2xcl_rol","lvaw_garriga"
"Argentina",160,1990,0.835,NA,2,1.843,0,0.25,0.75,0,0.967,-1.316,0.75,0.824,0.400125
"Argentina",160,1991,0.834,NA,2,1.843,0,0.25,0.75,0,0.967,-1.316,0.75,0.83,0.400125
"Argentina",160,1992,0.835,NA,2,1.843,0,0.25,0.75,0,0.967,1.229,0.75,0.83,0.80255264
"Argentina",160,1993,0.834,NA,2,1.843,0,0.25,0.75,0,0.926,1.229,0.75,0.83,0.80255264
"Argentina",160,1994,0.837,NA,2,1.843,0,0.25,0.75,0,0.968,1.229,0.75,0.83,0.80255264
"Argentina",160,1995,0.836,NA,2,1.843,0,0.25,0.75,0,0.968,1.229,0.75,0.839,0.80255264
"Argentina",160,1996,0.833,NA,2,1.843,0,0.25,0.75,0,0.968,0.822,0.75,0.839,0.80255264
"Argentina",160,1997,0.832,NA,2,1.843,0,0.25,0.75,0,0.968,1.454,0.75,0.839,0.80255264
"Argentina",160,1998,0.83,NA,2,1.843,0,0.25,0.75,0,0.968,-1.362,0.75,0.839,0.80255264
"Argentina",160,1999,0.83,NA,2,1.843,0,0.25,0.75,0,0.968,-1.49,0.75,0.839,0.80255264
"Argentina",160,2000,0.839,NA,2,1.843,0,0.25,0.75,0,0.968,-1.122,0.75,0.832,0.80255264
"Argentina",160,2001,0.838,1,2,1.843,0,0.25,0.75,0,0.968,-1.122,0.75,0.842,0.80255264
"Argentina",160,2002,0.833,NA,2,1.843,0,0.25,0.75,0,0.968,-1.492,0.75,0.842,0.80255264
"Argentina",160,2003,0.815,1,2,1.843,0,0.25,0.75,0,0.968,0.943,0.75,0.854,0.79025
"Argentina",160,2004,0.812,NA,2,1.843,0,0.25,0.75,0,0.968,0.722,0.75,0.88,0.79025
"Argentina",160,2005,0.81,1,2,1.843,0,0.308,0.615,0.077,0.968,0.859,0.75,0.88,0.79025
"Argentina",160,2006,0.799,NA,2,1.843,0,0.308,0.615,0.077,0.968,0.534,0.75,0.88,0.79025
"Argentina",160,2007,0.797,1,2,1.843,0,0.308,0.615,0.077,0.968,0.634,0.75,0.878,0.79025
"Argentina",160,2008,0.789,NA,2,1.843,0,0.308,0.615,0.077,0.968,0.675,0.75,0.873,0.79025
"Argentina",160,2009,0.784,1,2,1.843,0,0.308,0.615,0.077,0.968,1.303,0.75,0.873,0.79025
"Argentina",160,2010,0.773,NA,2,1.843,0,0.308,0.615,0.077,0.968,1.338,0.75,0.873,0.79025
"Argentina",160,2011,0.774,1,2,1.843,0,0.308,0.615,0.077,0.968,1.071,0.75,0.875,0.79025
"Argentina",160,2012,0.777,NA,2,1.843,0,0.308,0.615,0.077,0.968,0.871,0.75,0.881,0.76025
"Argentina",160,2013,0.782,1,2,1.843,0,0.273,0.636,0.091,0.932,0.871,0.75,0.882,NA
"Argentina",160,2014,0.798,NA,2,1.843,0,0.273,0.636,0.091,0.932,1.282,0.75,0.882,NA
"Argentina",160,2015,0.785,1,2,1.843,0,0.273,0.636,0.091,0.932,0.972,0.75,0.868,NA
"Argentina",160,2016,0.762,NA,2,1.843,0,0.3,0.6,0.1,0.932,0.91,1,0.859,NA
"Argentina",160,2017,0.756,1,2,1.843,0,0.3,0.6,0.1,0.932,0.91,1,0.851,NA
"Argentina",160,2018,0.777,NA,2,1.843,0,0.3,0.6,0.1,0.932,0.91,0.75,0.86,NA
"Argentina",160,2019,0.778,1,2,1.843,0,0.5,0.5,0,0.932,0.948,0.75,0.825,NA
"Argentina",160,2020,0.819,NA,2,1.843,0,0.5,0.5,0,0.932,0.906,0.75,0.851,NA
"Argentina",160,2021,0.819,1,2,1.843,0,0.5,0.5,0,0.932,0.906,0.75,0.824,NA
"Armenia",371,1990,0.573,0,1,-0.324,0,0.2,0.2,0.6,0.173,1.37,0.5,0.74,NA
"Armenia",371,1991,0.619,NA,1,-0.324,0,0.2,0.2,0.6,0.173,1.37,0.5,0.751,NA
"Armenia",371,1992,0.62,NA,1,-0.324,0,0.2,0.2,0.6,0.405,1.37,0.25,0.722,NA
"Armenia",371,1993,0.609,NA,1,-0.324,0,0.2,0.2,0.6,0.405,1.37,0.25,0.696,0.3025
"Armenia",371,1994,0.59,NA,1,-0.324,0,0.2,0.2,0.6,0.372,1.37,0.25,0.698,0.3025
"Armenia",371,1995,0.5,2,1,-0.324,0,0.2,0.2,0.6,0.257,0.452,0.25,0.734,0.3025
"Armenia",371,1996,0.421,NA,1,1.7,0,0.2,0.2,0.6,0.282,0.452,0.25,0.742,0.84650004
"Armenia",371,1997,0.399,NA,1,1.7,0,0.2,0.2,0.6,0.282,0.452,0.25,0.742,0.84650004
"Armenia",371,1998,0.407,NA,1,1.7,0,0.2,0.2,0.6,0.282,0.867,0.25,0.705,0.84650004
"Armenia",371,1999,0.42,2,1,1.7,0,0.2,0.2,0.6,0.282,0.867,0.25,0.701,0.84650004
"Armenia",371,2000,0.422,NA,1,1.7,0,0.2,0.4,0.4,0.282,0.867,0.25,0.7,0.84650004
"Armenia",371,2001,0.423,NA,1,1.7,0,0.2,0.4,0.4,0.282,0.867,0.25,0.727,0.84650004
"Armenia",371,2002,0.412,NA,1,1.7,0,0.2,0.4,0.4,0.282,0.867,0.25,0.727,0.84650004
"Armenia",371,2003,0.357,2,1,1.7,0,0.2,0.4,0.4,0.282,1.018,0.25,0.743,0.84650004
"Armenia",371,2004,0.347,NA,1,1.7,0,0.2,0.4,0.4,0.282,1.018,0.25,0.732,0.84650004
"Armenia",371,2005,0.346,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.018,0.25,0.758,0.84650004
"Armenia",371,2006,0.345,NA,1,1.7,0,0.111,0.667,0.222,0.282,1.026,0.25,0.758,0.84650004
"Armenia",371,2007,0.352,2,1,1.7,0,0.222,0.556,0.222,0.282,1.026,0.25,0.758,0.84650004
"Armenia",371,2008,0.321,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.058,0.25,0.721,0.84650004
"Armenia",371,2009,0.327,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.058,0.25,0.779,0.84650004
"Armenia",371,2010,0.337,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.058,0.25,0.805,0.84650004
"Armenia",371,2011,0.339,NA,1,1.7,0,0.222,0.556,0.222,0.282,1.058,0.25,0.805,0.84650004
"Armenia",371,2012,0.361,2,1,1.7,0,0.222,0.556,0.222,0.282,-1.296,0.25,0.805,0.84650004
"Armenia",371,2013,0.361,NA,1,1.7,0,0.111,0.778,0.111,0.282,-0.753,0.25,0.814,NA
"Armenia",371,2014,0.352,NA,1,1.7,0,0.111,0.778,0.111,0.377,-0.349,0.25,0.816,NA
"Armenia",371,2015,0.356,NA,1,1.7,0,0.111,0.778,0.111,0.28,-0.349,0.25,0.809,NA
"Armenia",371,2016,0.357,NA,1,1.7,0,0.222,0.667,0.111,0.378,-1.216,0.25,0.806,NA
