"country_name","country","COWcode","exec_parties_1981_2010","federal_unitry_1981_2010","nep","gabinete_min_pct","dom_ejecutivo","proporcionalidad","ind_cso","federalismo","bicameralismo","rigidez_cp","jureview","cbi","v2x_libdem","v2xcl_rol","e_gdppc"
"Argentina","ARG",160,-1.01,1.34,3.15,82.4,8,17.98,2.7,4.5,4,4,2.7,0.39,0.585966666666667,0.788633333333333,11.5899
"Australia","AUL",900,-0.65,1.58,2.19,86.5,7.37,10.07,1.88,5,4,4,3,0.42,0.848633333333333,0.983333333333333,34.3466666666667
"Austria","AUT",305,0.64,0.97,3.23,47.4,5.9,2.02,0.38,4.5,2,3,3,0.53,0.785833333333333,0.968433333333333,31.8717666666667
"Bahrain","BAH",692,-1.33,-0.18,1.74,100,7.37,15.9,3,1,2,3,2,0.41,0.0838888888888889,0.415033333333333,21.7463
"Barbados","BAR",53,-1.2,-0.53,1.62,100,7.37,18.72,2,1,2,2,2,0.38,0.650666666666667,0.9261,16.6769666666667
"Belgium","BEL",211,1.1,0.44,6.13,36.3,4.21,3.75,1.33,4.2,2.5,3,2.7,0.3,0.804166666666667,0.9849,31.7064666666667
"Botswana","BOT",571,-1.62,-0.52,1.43,100,9.9,18.48,2.6,1,2.5,2,2,0.33,0.584766666666667,0.887333333333333,8.0696
"Canada","CAN",20,-1.03,1.81,2.66,89.9,7.37,13.14,3.17,5,3,4,3.9,0.52,0.754466666666667,0.969433333333333,35.6601666666667
"Costa Rica","CR",94,-0.38,-0.12,2.81,85.2,3,14.77,2.2,1,1,3,3.4,0.37,0.835333333333333,0.959,9.8318
"Denmark","DEN",390,1.35,-0.42,4.95,5.7,3.69,1.6,0.88,2,1,2,2,0.46,0.882633333333333,0.993,34.9006333333333
"Finland","FIN",375,1.48,-0.83,5.05,1.4,2.68,3.34,0.67,2,1,3,1,0.28,0.824666666666667,0.99,29.3864666666667
"France","FRA",220,-0.89,0.02,2.94,50.8,8,19.56,2.75,1.5,3,2,3,0.35,0.807133333333333,0.9784,31.6571
"Germany","GER",255,0.63,2.33,3.3,43.4,4.92,2.55,0.88,5,4,3.5,4,0.69,0.8634,0.993,34.85705
"Greece","GRE",350,-0.55,-0.77,2.32,97.7,3.69,6.64,3.12,1,1,2,2,0.38,0.786233333333333,0.959366666666667,21.7594333333333
"Iceland","ICE",395,0.55,-1.09,4.01,47.8,3.28,2.48,2.17,1,1.2,1,2,0.34,0.783133333333333,0.972133333333333,36.3559666666667
"India","IND",750,0.63,1.08,5.25,32,3.69,8.51,2.15,4.5,3,3,4,0.34,0.572633333333333,0.708733333333333,2.42486666666667
"Ireland","IRE",205,0.38,-0.46,2.95,31,2.95,4.17,2.42,1,2,2,2,0.41,0.783566666666667,0.9648,30.2801333333333
"Israel","ISR",666,1.38,-0.81,5.65,18.6,1.13,3.76,1.5,3,1,1,1,0.46,0.680966666666667,0.911033333333333,26.1081333333333
"Italy","ITA",325,1.13,-0.16,5.36,8.3,2.01,4.82,2.08,1.5,3,2,2.5,0.33,0.755566666666667,0.9518,29.0371666666667
"Jamaica","JAM",51,-1.56,-0.43,1.65,100,9.83,15.41,3,1,2,3,2,0.3,0.5178,0.8299,6.2111
"Japan","JPN",740,0.71,0.15,3.66,14.1,2.46,10.5,1.38,2,3,4,2,0.25,0.755666666666667,0.973,31.5252333333333
"South Korea","KOR",732,-1.29,-0.1,2.85,86,8,21.97,2.9,1.5,1,4,3,0.27,0.544766666666667,0.8889,19.2545
"Luxembourg","LUX",212,0.38,-0.89,3.78,50,7.37,4.14,0.88,1,1,3,1,0.33,0.7811,0.982,55.0624333333333
"Malaysia","MAL",820,-0.75,-0.36,2,100,7.37,1.65,3,1,1,3,2,0.44,0.175066666666667,0.595033333333333,12.5757333333333
"Mauritius","MAU",590,0.42,-0.17,2.9,10.6,2.11,16.57,1.3,1,1,3,3,0.4,0.6452,0.917266666666667,12.5692666666667
"Netherlands","NET",210,1.17,0.28,4.86,39.7,2.68,1.08,1,3,3,3,1,0.48,0.817533333333333,0.979,34.4938
"Norway","NOR",385,1.09,-0.67,4.11,36.6,2.95,3.79,0.38,2,1.5,3,2,0.17,0.851,0.9884,41.7414333333333
"New Zealand","NZ",920,-0.17,-1.65,2.66,60,3.28,9.11,2.71,1,1,1,1,0.24,0.825833333333333,0.9818,26.0418
"Portugal","POR",235,0.04,-0.63,2.85,55.4,3.69,4.85,2.62,1,1,3,2,0.32,0.821333333333333,0.980133333333333,20.1587333333333
"Spain","SPA",230,-0.63,0.42,2.61,71.6,7.37,6.53,3.04,3,3,3,3,0.29,0.818133333333333,0.976666666666667,25.1075
"Sweden","SWE",380,0.87,-1.09,3.82,42.6,4.92,1.95,0.42,2,1,2,1,0.29,0.883533333333333,0.991866666666667,33.6713666666667
"Switzerland","SWI",225,1.67,1.59,5.5,1.7,1,3.08,0.88,5,4,4,1,0.68,0.83,0.979266666666667,40.4127666666667
"Trinidad & Tobago","TRI",52,-0.79,-0.34,1.88,90.7,4.21,11.67,3,1.5,2,3,2,0.3,0.626933333333333,0.898333333333333,18.0432
"United Kingdom","UK",200,-1.48,-1.12,2.27,99.8,9.83,16,3.08,1.4,2.5,1,1,0.28,0.7691,0.9649,29.9287666666667
"Uruguay","URU",165,0.31,-0.84,4.4,80.3,4,6.05,1.7,1,3,1,2.5,0.19,0.6783,0.861766666666667,11.8815666666667
"United States of America","US",2,-0.63,2.18,2.37,78.9,4,13.35,2.88,5,4,4,4,0.56,0.809766666666667,0.9581,44.6888333333333
