"country_name","cowcode","year","v2x_polyarchy","v2x_libdem","v2x_feduni","v2x_divparctrl","v2jureview","d_bicam","v2xcl_rol","e_gdppc","lvaw_garriga","ind_cso","libdem","erosion"
"Mexico",70,1990,0.396,0.195,0.985,-1.286,0.771,1,0.539,11.389,0.39287502,0.64,0,1
"Suriname",115,1990,0.732,0.559,0.845,0.741,-0.53,NA,0.838,7.687,0.417125,0,0,1
"Sweden",380,1990,0.916,0.884,0.95,0.634,0.873,0,0.992,30.348,0.2945,1,1,0
"Sweden",380,1991,0.916,0.884,0.95,-0.409,0.873,0,0.992,30.18,0.2945,0.88,1,0
"Sweden",380,1992,0.915,0.884,0.95,-0.409,0.873,0,0.992,29.787,0.2945,0.88,1,0
"Sweden",380,1993,0.916,0.884,0.95,-0.409,0.873,0,0.992,29.357,0.2945,0.76,1,0
"Sweden",380,1994,0.916,0.884,0.95,0.209,0.873,0,0.992,30.079,0.2945,0.76,1,0
"Sweden",380,1995,0.916,0.883,0.95,0.154,0.873,0,0.992,31.085,0.2945,0.76,1,0
"Sweden",380,1996,0.916,0.883,0.95,0.154,0.873,0,0.992,31.746,0.2945,0.76,1,0
"Sweden",380,1997,0.916,0.883,0.95,0.154,0.873,0,0.992,32.894,0.2945,0.76,1,0
"Sweden",380,1998,0.916,0.883,0.95,0.154,0.873,0,0.992,34.167,0.2945,0.76,1,0
"Sweden",380,1999,0.914,0.881,0.95,0.154,0.873,0,0.992,35.744,0.2945,0.76,1,0
"Sweden",380,2000,0.914,0.881,0.95,0.154,0.873,0,0.992,36.902,0.2945,0.76,1,0
"Sweden",380,2001,0.914,0.881,0.95,0.154,0.873,0,0.992,37.555,0.2945,0.76,1,0
"Sweden",380,2002,0.915,0.882,0.95,0.154,0.873,0,0.992,38.117,0.2945,0.76,1,0
"Sweden",380,2003,0.916,0.884,0.95,0.154,0.873,0,0.992,38.849,0.2945,0.76,1,0
"Sweden",380,2004,0.916,0.884,0.95,0.154,0.873,0,0.992,40.198,0.2945,0.76,1,0
"Sweden",380,2005,0.916,0.884,0.95,0.154,0.873,0,0.992,41.079,0.2945,0.65,1,0
"Sweden",380,2006,0.918,0.886,0.95,0.127,0.873,0,0.992,42.378,0.2945,0.65,1,0
"Sweden",380,2007,0.922,0.891,0.95,0.127,0.873,0,0.992,43.362,0.2945,0.65,1,0
"Sweden",380,2008,0.922,0.891,0.95,0.127,0.873,0,0.992,43.457,0.2945,0.65,1,0
"Sweden",380,2009,0.922,0.891,0.95,0.127,0.873,0,0.992,42.656,0.2945,0.65,1,0
"Sweden",380,2010,0.92,0.889,0.95,0.127,1.198,0,0.992,43.325,0.2945,0.65,1,0
"Sweden",380,2011,0.923,0.892,0.95,0.127,1.198,0,0.992,43.82,0.2945,0.65,1,0
"Sweden",380,2012,0.926,0.896,0.95,0.127,1.198,0,0.992,43.817,0.2945,0.65,1,0
"Sweden",380,2013,0.926,0.895,0.94,0.265,1.198,0,0.991,43.978,NA,0.66,1,0
"Sweden",380,2014,0.923,0.893,0.933,0.265,1.198,0,0.991,44.924,NA,0.66,1,0
"Sweden",380,2015,0.922,0.89,0.933,0.014,0.843,0,0.989,45.983,NA,0.62,1,0
"Sweden",380,2016,0.922,0.89,0.933,0.014,0.843,0,0.989,46.995,NA,0.62,1,0
"Sweden",380,2017,0.922,0.89,0.933,0.014,0.843,0,0.987,47.827,NA,0.61,1,0
"Sweden",380,2018,0.917,0.886,0.942,0.53,0.843,0,0.988,48.634,NA,0.61,1,0
"Sweden",380,2019,0.908,0.879,0.942,-0.017,0.843,0,0.988,48.804,NA,0.63,1,0
"Sweden",380,2020,0.908,0.879,0.942,-0.017,0.843,0,0.988,NA,NA,0.59,1,0
